job_title,rating,company_name,type_of_ownership,industry,sector,revenue,main_role,seniority,sub_role,salary_range($),min_salary,max_salary,avg_salary,company_city,company_state,headquarter_city,headquarter_state,company_size_category,founded_year_category
Sr Data Scientist,3.1,Healthfirst,Nonprofit Organization,Insurance Carriers,Insurance,Unknown,data scientist,Sr,Sr ,137000-171000,137000,171000,153999.5,New York, NY,New York, NY,Large,1990s-2000s
Data Scientist,4.2,ManTech,Company - Public,Research & Development,Business Services,$1B to $2B,data scientist,neutral,,137000-171000,137000,171000,153999.5,Chantilly, VA,Herndon, VA,Large,1960s-1970s
Data Scientist,3.8,Analysis Group,Private Practice / Firm,Consulting,Business Services,$100M to $500M,data scientist,neutral,,137000-171000,137000,171000,153999.5,Boston, MA,Boston, MA,Large,1980s-1990s
Data Scientist,3.5,INFICON,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100M to $500M,data scientist,neutral,,137000-171000,137000,171000,153999.5,Newton, MA,Bad Ragaz, Switzerland,Medium,1990s-2000s
Data Scientist,2.9,Affinity Solutions,Company - Private,Advertising & Marketing,Business Services,Unknown,data scientist,neutral,,137000-171000,137000,171000,153999.5,New York, NY,New York, NY,Small,1990s-2000s
Data Scientist,4.2,HG Insights,Company - Private,Computer Hardware & Software,Information Technology,Unknown,data scientist,neutral,,137000-171000,137000,171000,153999.5,Santa Barbara, CA,Santa Barbara, CA,Small,2000s-2010s
Data Scientist / Machine Learning Expert,3.9,Novartis,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10B+,AI/ machine learning professionle,neutral,Data Scientist /  Expert,137000-171000,137000,171000,153999.5,Cambridge, MA,Basel, Switzerland,Very Large,1990s-2000s
Data Scientist,3.5,iRobot,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1B to $2B,data scientist,neutral,,137000-171000,137000,171000,153999.5,Bedford, MA,Bedford, MA,Large,1980s-1990s
Staff Data Scientist - Analytics,4.4,Intuit - Data,Company - Public,Computer Hardware & Software,Information Technology,$2B to $5B,data scientist,jr,Staff  - Analytics,137000-171000,137000,171000,153999.5,San Diego, CA,Mountain View, CA,Large,1980s-1990s
Data Scientist,3.6,XSELL Technologies,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,data scientist,neutral,,137000-171000,137000,171000,153999.5,Chicago, IL,Chicago, IL,Small,2010s-2020s
Data Scientist,4.5,Novetta,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100M to $500M,data scientist,neutral,,137000-171000,137000,171000,153999.5,Herndon, VA,Mc Lean, VA,Medium,2010s-2020s
Data Scientist,4.7,1904labs,Company - Private,IT Services,Information Technology,Unknown,data scientist,neutral,,137000-171000,137000,171000,153999.5,Saint Louis, MO,Saint Louis, MO,Small,2010s-2020s
"Data Scientist - Statistics, Early Career",3.7,PNNL,Government,Energy,"Oil, Gas, Energy & Utilities",$500M to $1B,data scientist,neutral," - Statistics, Early Career",137000-171000,137000,171000,153999.5,Richland, WA,Richland, WA,Large,1960s-1970s
Data Modeler,3.1,Old World Industries,Company - Private,Chemical Manufacturing,Manufacturing,$1B to $2B,others/scientist/software engineer(data concerning role),neutral,Data Modeler,137000-171000,137000,171000,153999.5,Northbrook, IL,Northbrook, IL,Medium,1970s-1980s
Data Scientist,3.4,Mathematica Policy Research,Company - Private,Consulting,Business Services,$100M to $500M,data scientist,neutral,,137000-171000,137000,171000,153999.5,Washington, DC,Princeton, NJ,Large,1980s-1990s
Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),Company - Private,Federal Agencies,Government,Unknown,data scientist,Sr,Experienced ,137000-171000,137000,171000,153999.5,Washington, DC,Mays Landing, NJ,Small,1990s-2000s
Data Scientist - Contract,4.1,Upside Business Travel,Company - Private,Internet,Information Technology,Unknown,data scientist,neutral, - Contract,137000-171000,137000,171000,153999.5,Remote,,Washington, DC,Small,2010s-2020s
Data Scientist,3.5,Buckman,Company - Private,Chemical Manufacturing,Manufacturing,$500M to $1B,data scientist,neutral,,137000-171000,137000,171000,153999.5,Memphis, TN,Memphis, TN,Large,1900s-1950s
